,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,92,24,1,0
grasp_2,0,0,54,54,5,0
grasp_3,31,22,1,5,1,15
grasp_4,0,0,16,53,34,0
