,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,92,0,0,0
grasp_2,0,0,98,92,18,0
grasp_3,90,99,0,0,0,44
grasp_4,0,0,60,100,64,0
