,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,100,0,0,0
grasp_2,0,0,100,100,0,0
grasp_3,100,100,0,0,0,0
grasp_4,0,0,100,100,100,0
