,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,96,20,0,0
grasp_2,0,0,70,57,15,0
grasp_3,52,70,0,0,0,30
grasp_4,0,0,23,70,31,0
