,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G0,0.2,G0,0.2,G-1,0.06,G-1,0.06,G-1,0.09,G-1,0.09,G0,0.09,G0,0.09,G2,0.86,G2,0.86,G2,0.69,G2,0.69
∅,G2,0.29,G2,0.29,G2,0.29,G2,0.29,G2,0.29,G2,0.29,G2,0.29,G2,0.29,G2,0.29,G2,0.29,G2,0.29,G2,0.29
Q1,G0,0.10500000000000001,G0,0.10500000000000001,G0,0.10500000000000001,G0,0.10500000000000001,G0,0.049999999999999996,G0,0.049999999999999996,G0,0.049999999999999996,G0,0.049999999999999996,G2,0.7749999999999999,G2,0.7749999999999999,G2,0.7749999999999999,G2,0.7749999999999999
Q2,G0,0.2,G0,0.2,G-1,0.06,G-1,0.06,G-1,0.09,G-1,0.09,G0,0.09,G0,0.09,G2,0.7749999999999999,G2,0.7749999999999999,G2,0.7749999999999999,G2,0.7749999999999999
Q3,G0,0.10500000000000001,G0,0.10500000000000001,G0,0.10500000000000001,G0,0.10500000000000001,G0,0.049999999999999996,G0,0.049999999999999996,G0,0.049999999999999996,G0,0.049999999999999996,G2,0.7749999999999999,G2,0.7749999999999999,G2,0.7749999999999999,G2,0.7749999999999999
Q4,G0,0.2,G0,0.2,G-1,0.06,G-1,0.06,G-1,0.09,G-1,0.09,G0,0.09,G0,0.09,G2,0.7749999999999999,G2,0.7749999999999999,G2,0.7749999999999999,G2,0.7749999999999999
