,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G2,1.0,G2,1.0,G2,1.0,G2,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0
∅,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666
Q1,G2,1.0,G2,1.0,G2,1.0,G2,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0
Q2,G2,1.0,G2,1.0,G2,1.0,G2,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0
Q3,G2,1.0,G2,1.0,G2,1.0,G2,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0
Q4,G2,1.0,G2,1.0,G2,1.0,G2,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0
