,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G0,0.16,G0,0.16,G-1,0.06,G-1,0.06,,0.0,,0.0,G0,0.15,G0,0.15,G2,0.93,G2,0.93,G2,0.9,G2,0.9
∅,G2,0.31,G2,0.31,G2,0.31,G2,0.31,G2,0.31,G2,0.31,G2,0.31,G2,0.31,G2,0.31,G2,0.31,G2,0.31,G2,0.31
Q1,G0,0.07760563847172365,G0,0.0776086912758176,G0,0.07759880132910721,G0,0.07760518668121053,G0,0.07758972368162197,G0,0.07758970948228236,G0,0.07758957677784172,G0,0.07758970948327282,G2,0.9142589509127881,G2,0.9140871860298996,G2,0.9142589509127881,G2,0.9140871860298996
Q2,G0,0.12418615341710779,G0,0.12371399189989597,G-1,0.050325194791813584,G-1,0.05006105613075824,G0,0.0395734544790452,G0,0.040236066354751514,G0,0.1621193310384444,G0,0.16162100151241432,G2,0.8876471878348242,G2,0.8855263465159235,G2,0.8876471878348242,G2,0.8855263465159224
Q3,G0,0.07755952128231974,G0,0.07755918093567045,G0,0.0775588378110651,G0,0.0775591809350927,G0,0.07752969629979474,G0,0.07752500620855857,G0,0.077540017403117,G0,0.07753090228665266,G2,0.9146543255333566,G2,0.9147187631479003,G2,0.9146543255333566,G2,0.9147187631479003
Q4,G0,0.15734969855255693,G0,0.15745184588399994,G-1,0.051150057705439456,G-1,0.050835777291895784,G2,0.09985186892488035,G2,0.10144152892190011,G2,0.35866565666326655,G2,0.3614072191326839,G2,0.7259235494319483,G2,0.7250682737370151,G2,0.7259235494319483,G2,0.7250682737370123
