,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G0,0.19,G0,0.19,G-1,0.06,G-1,0.06,G-1,0.18,G-1,0.18,G0,0.12,G0,0.12,G0,0.47,G0,0.47,G0,0.49,G0,0.49
∅,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332,G0,0.21333333333333332
Q1,G0,0.08445155546114783,G0,0.08504226287648814,G0,0.08403947645088945,G0,0.0842334657702396,G0,0.0833703813316665,G0,0.08334341645695455,G0,0.08337978069340146,G0,0.08334341688474588,G0,0.4627072061639399,G0,0.46438632362662546,G0,0.4627072061639399,G0,0.46438632362662563
Q2,G0,0.1592580499692321,G0,0.15945536037125396,G0,0.06448437107021154,G0,0.06370012324851264,G-1,0.1271897219836365,G-1,0.12765992946005925,G0,0.1524782565164449,G0,0.15172604826630423,G0,0.44048977372759246,G0,0.4409385049013267,G0,0.44048977372759246,G0,0.4409385049013265
Q3,G0,0.08390692501608278,G0,0.08391536049829151,G0,0.08388596102954124,G0,0.08391535976434591,G0,0.08280373445302183,G0,0.08232568876043805,G0,0.08316690259283872,G0,0.08283078247951625,G0,0.4666501295334705,G0,0.46823492003895056,G0,0.4666501295334705,G0,0.4682349200389511
Q4,G0,0.18887883183248974,G0,0.18888863144188947,G0,0.06036319123629848,G0,0.06007626514189099,G-1,0.11568577202775719,G-1,0.11610888929266336,G0,0.21360427768356455,G0,0.21304449962439936,G0,0.4018136183870398,G0,0.40287986934407166,G0,0.4018136183870398,G0,0.40287986934407116
