,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G2,1.0,G2,1.0,G2,1.0,G2,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0,G0,1.0
∅,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666,G0,0.6666666666666666
Q1,G2,0.5170373450746917,G2,0.5238334870070707,G2,0.509357485040602,G2,0.5203437912796607,G0,0.5235072292161258,G0,0.5239594451479914,G0,0.5229752090560584,G0,0.5239594445734643,G0,0.9786728097614406,G0,0.9807548027871922,G0,0.9786728097614406,G0,0.9807548027871924
Q2,G2,0.8171236158780116,G2,0.8181010808816196,G2,0.9044069625282021,G2,0.9046828223164883,G0,0.8263084573576103,G0,0.8269474694638281,G0,0.8986908474931101,G0,0.8988379583536613,G0,0.9598008881657945,G0,0.9603569581604786,G0,0.9598008881657945,G0,0.9603569581604781
Q3,G2,0.5222297873228328,G2,0.5226919940727327,G2,0.5216974936418558,G2,0.5226919935011635,G0,0.5157186438279308,G0,0.5225794304954713,G0,0.5080421413589942,G0,0.5190849430477129,G2,0.9835504020004189,G2,0.9855007655976458,G2,0.9835504020004189,G2,0.9855007655976451
Q4,G2,0.8369143326729768,G2,0.8376076676840459,G2,0.8955001553425849,G2,0.895864125527221,G0,0.8354995301734329,G0,0.8362929106602373,G0,0.9246568107191537,G0,0.9248302960903463,G0,0.9390805408906884,G0,0.9396450116889175,G0,0.9390805408906884,G0,0.9396450116889161
