,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0.0,0.06,0.0,0.0,0.0,0.0
grasp_2,0.16,0.0,0.0,0.15,0.54,0.48
grasp_3,0.0,0.0,0.0,0.0,0.58,0.61
grasp_4,0.01,0.01,0.0,0.01,0.93,0.9
