,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0.01,0.06,0.09,0.0,0.0,0.01
grasp_2,0.2,0.01,0.01,0.09,0.48,0.46
grasp_3,0.03,0.0,0.01,0.02,0.44,0.28
grasp_4,0.11,0.02,0.05,0.01,0.86,0.69
