,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0.0,0.06,0.18,0.0,0.0,0.0
grasp_2,0.19,0.0,0.01,0.12,0.47,0.49
grasp_3,0.07,0.02,0.07,0.03,0.24,0.2
grasp_4,0.12,0.0,0.01,0.01,0.38,0.48
