,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,77,66,0,0
grasp_2,0,0,58,61,0,1
grasp_3,0,0,1,0,0,0
grasp_4,0,0,4,1,0,0
