,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0.91,0.94,0.0,0.0,0.0,0.0
grasp_2,0.11,0.14,0.98,0.0,0.89,0.74
grasp_3,0.01,0.03,0.0,0.61,0.39,0.51
grasp_4,0.02,0.05,0.8,1.0,0.0,0.95
