,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0.55,0.6,0.0,0.0,0.0,0.0
grasp_2,0.05,0.1,0.94,0.0,0.57,0.46
grasp_3,0.08,0.08,0.0,0.7,0.33,0.33
grasp_4,0.23,0.21,0.56,0.74,0.0,0.94
