,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,6,18,0,0,0
grasp_2,19,0,1,12,47,49
grasp_3,7,2,7,3,24,20
grasp_4,12,0,1,1,38,48
