,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,1,6,9,0,0,1
grasp_2,20,1,1,9,48,46
grasp_3,3,0,1,2,44,28
grasp_4,11,2,5,1,86,69
