,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,100,99,72,0,0,0
grasp_2,100,96,100,0,0,0
grasp_3,0,0,0,85,95,83
grasp_4,0,0,0,81,71,8
