,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,63,67,56,0,0,3
grasp_2,59,57,33,0,0,0
grasp_3,0,0,0,25,30,40
grasp_4,0,0,0,47,45,19
