,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,94,96,74,0,0,0
grasp_2,82,80,63,0,0,0
grasp_3,0,0,3,49,53,64
grasp_4,0,0,0,60,57,15
