,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,55,60,0,0,0,0
grasp_2,5,10,94,0,57,46
grasp_3,8,8,0,70,33,33
grasp_4,23,21,56,74,0,94
