,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,91,94,0,0,0,0
grasp_2,11,14,98,0,89,74
grasp_3,1,3,0,61,39,51
grasp_4,2,5,80,100,0,95
