,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,90,98,0,0
grasp_2,99,100,20,6,0,0
grasp_3,0,0,82,87,96,100
grasp_4,0,0,0,0,95,100
