,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,6,0,0,0,0
grasp_2,16,0,0,15,54,48
grasp_3,0,0,0,0,58,61
grasp_4,1,1,0,1,93,90
