,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,0,0,0,0
grasp_2,0,0,20,20,20,20
grasp_3,0,0,0,0,20,20
grasp_4,20,20,0,0,20,20
