,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,95,90,0,0
grasp_2,56,72,6,3,0,0
grasp_3,0,0,72,64,97,87
grasp_4,0,1,13,7,94,84
