,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,0,77,67,0,0
grasp_2,49,55,4,2,0,0
grasp_3,0,0,56,51,84,54
grasp_4,0,0,19,4,65,57
