,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,39,16,0,0,0,0
grasp_2,3,4,58,0,28,28
grasp_3,14,6,0,67,22,24
grasp_4,13,9,27,37,0,72
