,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0,2,1,0,0,0
grasp_2,3,0,0,1,4,7
grasp_3,1,0,1,1,3,2
grasp_4,2,0,1,0,4,9
