,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G1,0.9,G1,0.9,G1,0.99,G1,0.99,G0,0.98,G0,0.98,G2,1.0,G2,1.0,G2,0.64,G2,0.64,G1,0.44,G1,0.44
∅,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333,G1,0.3883333333333333
Q1,G1,0.8212205436954476,G1,0.8212205436954476,G1,0.8500850858944241,G1,0.8872655840184877,G0,0.8902045560682511,G0,0.9173011195884795,G2,0.8243983674432437,G2,0.841701469955846,G2,0.5793911459364904,G2,0.5832176635533411,G1,0.3942741320661328,G1,0.39870841408692315
Q2,G1,0.6965372814242282,G1,0.7716526617263978,G1,0.742716248672481,G1,0.7503068864973632,G0,0.7378701314362897,G0,0.8932900114775393,G2,0.509887522085197,G2,0.7969144897324947,G2,0.4782287174320985,G2,0.4873244331057517,G1,0.4013148837475276,G1,0.41262938698972773
Q3,G1,0.620825955500242,G1,0.7363366091262429,G1,0.8696448453613337,G1,0.8750102740945556,G0,0.8073842745668884,G0,0.8489004911996293,G2,0.7929179769290547,G2,0.8111698361885877,G2,0.5983242814248817,G2,0.6007654129193924,G1,0.42410286564260613,G1,0.42515106842397227
Q4,G1,0.6270734183142467,G1,0.7419326274903448,G1,0.6535443209280405,G1,0.6691571288235318,G0,0.7949931202591632,G0,0.8150918787172569,G2,0.7714316169397033,G2,0.7938820753044402,G2,0.44460207373987576,G2,0.4489773689471906,G1,0.4712231412894575,G1,0.4732406988269705
