,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G1,0.31,G1,0.31,G1,0.22,G1,0.22,G-1,0.92,G-1,0.92,G0,0.54,G0,0.54,G2,0.34,G2,0.34,G1,0.15,G1,0.15
∅,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998,G-1,0.19499999999999998
Q1,G1,0.29643350396523954,G1,0.29643350396523954,G1,0.2230901682121761,G1,0.22002182450887384,G-1,0.9072470758346033,G-1,0.9122807969705949,G0,0.4965220026958724,G0,0.49921190675177934,G2,0.32837308381916597,G2,0.329434888370175,G1,0.14359291042708097,G1,0.1440102091977882
Q2,G1,0.2905268439721561,G1,0.2958083425837577,G1,0.16693521418449006,G1,0.16740040221669714,G-1,0.874925599568471,G-1,0.8999084464616989,G2,0.34802350671694937,G0,0.4715074446677906,G2,0.23716104280221506,G2,0.23883693647843948,G2,0.1373731518569831,G1,0.13479838047603937
Q3,G1,0.2636860698934668,G1,0.2776870712463997,G1,0.21503239929091136,G1,0.21512074159410502,G-1,0.8250568490493247,G-1,0.8494956197464063,G0,0.4850502590880697,G0,0.48969031702213334,G2,0.3386409795022053,G2,0.3388186131264453,G1,0.1478336229664091,G1,0.14791599413698509
Q4,G1,0.25842116407191457,G1,0.2673249006508466,G1,0.15779735580068582,G1,0.15872613867306065,G-1,0.7810811976388856,G-1,0.7871418790270911,G2,0.45188324863603097,G0,0.46092950072190975,G2,0.19836440423487506,G2,0.1985197914252818,G1,0.13769629785421178,G1,0.1391786773837933
