,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5,pose_6,pose_6,pose_6,pose_6
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G3,4.5,G3,4.5,G3,4.95,G3,4.95,G2,4.9,G2,4.9,G4,5.0,G4,5.0,G4,3.2,G4,3.2,G3,2.2,G3,2.2
∅,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667,G3,1.9416666666666667
Q1,G3,4.5,G4,5.0,G3,4.95,G3,4.95,G2,4.9,G2,4.9,G4,5.0,G2,4.9,G4,3.2,G4,3.2,G3,2.2,G2,4.9
Q2,G3,4.5,G3,4.5,G3,4.95,G4,5.0,G2,4.9,G2,4.9,G4,5.0,G3,4.5,G4,3.2,G3,2.2,G3,2.2,G2,4.9
Q3,G3,4.5,G3,4.5,G3,4.95,G3,4.5,G2,4.9,G2,4.9,G4,5.0,G3,4.5,G4,3.2,G4,3.2,G3,2.2,G3,2.2
Q4,G3,4.5,G3,4.5,G3,4.95,G4,5.0,G2,4.9,G3,4.5,G4,5.0,G2,4.9,G4,3.2,G4,5.0,G3,2.2,G4,5.0
