,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G1,1.0,G1,1.0,G1,1.0,G1,1.0,G-1,1.0,G-1,1.0,G0,1.0,G0,1.0,G2,1.0,G2,1.0,,0.0,,0.0
∅,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5
Q1,G1,0.9659146520117526,G1,0.9659146520117526,G1,0.9758527136585282,G1,0.9805041433940409,G2,0.987129946146373,G2,0.9921253936255947,G2,0.934679914895267,G2,0.9371065216478127,G2,0.957851957622135,G2,0.9609475090375519,G2,0.06177839499633963,G2,0.0573292857043023
Q2,G1,0.9257794026681346,G1,0.9466949451862371,G1,0.7077239710999924,G1,0.7095807252591404,G2,0.9657003014536621,G2,0.9833846497433268,G2,0.699044708425294,G2,0.8859189235772666,G2,0.6913682401518596,G2,0.6962687161981664,G2,0.38147303931568627,G2,0.16303725981473152
Q3,G1,0.8319653456593913,G1,0.8863828351676103,G1,0.9677991819579986,G1,0.9682289899776046,G2,0.8994147445359993,G2,0.924929116440948,G2,0.9077754197333225,G2,0.915337026311063,G2,0.990431393274071,G2,0.9908806673345253,G2,0.03227595035222092,G2,0.030268586848503618
Q4,G1,0.825297188792215,G1,0.8569089705809033,G1,0.4775861586911785,G1,0.48291106616782997,G2,0.85843009361479,G2,0.8632897160226107,G2,0.876311812318918,G2,0.8907195548239513,G2,0.5688279944318648,G2,0.569290433095851,G1,0.3039655560604822,G1,0.30830147919313106
