,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G1,1.0,G1,1.0,G1,1.0,G1,1.0,G-1,1.0,G-1,1.0,G0,1.0,G0,1.0,G2,1.0,G2,1.0,,0.0,,0.0
∅,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5,G2,0.5
Q1,G1,0.8999846127401312,G1,0.8999846127401312,G1,0.8582063785550067,G1,0.8938002608918486,G2,0.9204797926586779,G2,0.9442107643121891,G2,0.8502732175732812,G2,0.8647142779585183,G2,0.879031349304741,G2,0.885899691819768,G2,0.14867089409723735,G2,0.1303997585928634
Q2,G1,0.7427438460666488,G1,0.8402278534068023,G1,0.7177076507414004,G1,0.7261052057391544,G2,0.7900580842497364,G2,0.9227589990153571,G2,0.5831171248970699,G2,0.8251628613468371,G2,0.7247204139288699,G2,0.7399279568913902,G2,0.4097757801554265,G2,0.1848184922630074
Q3,G1,0.6544884898155077,G1,0.8002998715152384,G1,0.8680566522175605,G1,0.8738504893744906,G2,0.837590732462835,G2,0.8764097181885143,G2,0.8177227468807099,G2,0.8340645143695163,G2,0.9110379983640285,G2,0.9157570726427255,G2,0.11776839019550303,G2,0.10414130800372397
Q4,G1,0.6708363277644136,G1,0.8137784388387401,G1,0.5531287808671469,G1,0.5738294307229236,G2,0.8299590814014863,G2,0.8480272241923059,G2,0.8123868076116121,G2,0.8311160484024983,G2,0.6656129743810596,G2,0.6730752440324737,G1,0.2522948480677619,G1,0.23758233289162178
