,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G1,0.52,G1,0.52,G1,0.7,G1,0.7,G-1,0.96,G-1,0.96,G2,0.7,G2,0.7,G2,0.31,G2,0.31,G1,0.3,G1,0.3
∅,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333,G1,0.2533333333333333
Q1,G1,0.5091140708893593,G1,0.5091140708893593,G1,0.6684135429382286,G1,0.679671319983236,G-1,0.9466274913079035,G-1,0.95191098956586,G2,0.6474539215678667,G2,0.6502470542348896,G2,0.30248808805959204,G2,0.3034668569372572,G1,0.2819338484070942,G1,0.283127249222889
Q2,G1,0.48511427580827776,G1,0.493790275761408,G1,0.5122742981702513,G1,0.5137372045143327,G-1,0.9120036753963555,G-1,0.9386822768003841,G2,0.44426093221760654,G2,0.6117524554942342,G2,0.21863949138545624,G2,0.22017875675483262,G1,0.2784896682478843,G1,0.2767908394132772
Q3,G1,0.43932882470539925,G1,0.46307425397392227,G1,0.677669077334685,G1,0.6779766130112224,G-1,0.8607577274667054,G-1,0.8863271297951756,G2,0.6304238540715951,G2,0.6361464375548394,G2,0.3109417173094715,G2,0.31113211615714115,G1,0.2932740114378223,G1,0.2933841856046084
Q4,G1,0.4311865109413036,G1,0.4459271197133204,G1,0.43291685665827756,G1,0.43622871893006604,G-1,0.814434571399264,G-1,0.8208704246676141,G2,0.590344051342565,G2,0.6030457678611996,G1,0.19862824704534177,G1,0.19846504339317272,G1,0.34755633796535024,G1,0.3518227015774556
