,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0.63,0.67,0.56,0.0,0.0,0.03
grasp_2,0.59,0.57,0.33,0.0,0.0,0.0
grasp_3,0.0,0.0,0.0,0.25,0.3,0.4
grasp_4,0.0,0.0,0.0,0.47,0.45,0.19
