,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,0.94,0.96,0.74,0.0,0.0,0.0
grasp_2,0.82,0.8,0.63,0.0,0.0,0.0
grasp_3,0.0,0.0,0.03,0.49,0.53,0.64
grasp_4,0.0,0.0,0.0,0.6,0.57,0.15
