,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6
grasp_1,1.0,0.99,0.72,0.0,0.0,0.0
grasp_2,1.0,0.96,1.0,0.0,0.0,0.0
grasp_3,0.0,0.0,0.0,0.85,0.95,0.83
grasp_4,0.0,0.0,0.0,0.81,0.71,0.08
